metric,field,band,model,p5,p16,p84,p95,assessment
Δ_CV,Mcdm,low-k,-0.1700219559837803,-0.47235032585521186,-0.3903822875819137,0.305370250948233,0.6317169065435158,natural
Δ_CV,Mcdm,mid-k,-0.15296015968374688,-0.4171853222178947,-0.30887803184783924,0.28876710787778226,0.48073887726556364,natural
Δ_CV,Mcdm,high-k,-0.15337821790910913,-0.3134201959530344,-0.29421965561383273,0.24351577352665707,0.48732809697334184,natural
Δ_CV,Mgas,low-k,-0.1618855259592625,-0.4608850662089644,-0.4119833408556479,0.3175683273565033,0.6424769457127969,natural
Δ_CV,Mgas,mid-k,-0.12924694721421323,-0.4520048673407511,-0.3157457337383477,0.31300491040816825,0.5395215922711828,natural
Δ_CV,Mgas,high-k,-0.026725800420614496,-0.3340471742892741,-0.30084932093103695,0.33832442417183023,0.8650467253738943,natural
Δ_CV,T,low-k,-0.04885395906259999,-0.5952885225671369,-0.4328085849414406,0.3986851949066883,0.8932603459550547,natural
Δ_CV,T,mid-k,-0.021412928628172546,-0.5038241926119087,-0.3190611687112311,0.3552191013618662,0.6616876544991662,natural
Δ_CV,T,high-k,0.12772329409480293,-0.4573906407088846,-0.35935550927071713,0.16189465681018084,0.43025154912674946,natural
R_sigma,Mcdm,low-k,0.20382872026693485,0.11036535831030614,0.15175626781058935,0.7704812967303258,0.9710524226907683,natural
R_sigma,Mcdm,mid-k,0.1607963253127,0.07907015165907369,0.13665677372450905,0.6905285190198002,0.8944403213709257,natural
R_sigma,Mcdm,high-k,0.10113527510267083,0.071062131796723,0.15008622862063145,0.5782688194691226,0.7123935315835178,caution
R_sigma,Mgas,low-k,0.24161620427541367,0.10403435883773515,0.12987080847141913,0.7727908298106654,1.042076664349896,natural
R_sigma,Mgas,mid-k,0.2547596111446378,0.07509384427067738,0.15094180006776914,0.8406141821293077,1.1683851770143798,natural
R_sigma,Mgas,high-k,0.18903009658155917,0.15788466359179656,0.2075789773524722,1.2723792876729316,1.4695883207864284,caution
R_sigma,T,low-k,0.036307257951899215,0.10192235628991772,0.21409618783862921,0.5974931915632453,0.7762311290098002,alarm
R_sigma,T,mid-k,0.03807903538524832,0.10380852851042473,0.18099106773597295,0.6147905714050466,0.7660612144982158,alarm
R_sigma,T,high-k,0.08196780225698404,0.15243987214878937,0.22605650553492584,0.7801170887493244,1.0381479847209723,alarm
Cross-PK,Mcdm-Mgas,low-k,3.62507667887061,2.5346314535628194,2.981749228516035,10.946226629264318,14.464516791256656,natural
Cross-PK,Mcdm-Mgas,mid-k,0.9312235894789369,0.33801381694885274,0.5886314610592754,3.0699834488988627,3.4789009121499452,natural
Cross-PK,Mcdm-Mgas,high-k,0.10624149482659757,0.08611542655902678,0.15716527257674864,0.6535242944810751,0.8556476789076348,caution
Cross-PK,Mcdm-T,low-k,2.617145549460269,1.6915781901291584,2.73207737708005,13.031109908216207,15.33996946799795,caution
Cross-PK,Mcdm-T,mid-k,0.22249117854773398,0.23083857916983658,0.2931777156437666,0.8628506322772003,1.4332314057744315,alarm
Cross-PK,Mcdm-T,high-k,0.012694896715311817,0.040939277417056,0.04464730431232671,0.14685397996615468,0.24258452555932608,alarm
Cross-PK,Mgas-T,low-k,2.3621203634798795,1.5796526256308532,2.571042182791915,12.080740297523223,15.133474712209683,caution
Cross-PK,Mgas-T,mid-k,0.16458022081306112,0.17461601316498637,0.2857297397364909,0.8360159561590595,1.1005750666270058,alarm
Cross-PK,Mgas-T,high-k,0.012732342526546966,0.015520815860928003,0.023462142261595886,0.08922600008505353,0.12417042080987249,alarm
Coherence,Mcdm-Mgas,low-k,0.0002933570622635852,0.0009352503529167595,0.0011092973116991185,0.003423490130072205,0.004511517706184759,alarm
Coherence,Mcdm-Mgas,mid-k,0.0016970909817766167,0.0022335210363665257,0.002882830034475072,0.017785897805380854,0.01976738623002915,alarm
Coherence,Mcdm-Mgas,high-k,0.01128765805281888,0.005807616741917653,0.00907535100016946,0.03607089931672991,0.04098453479128785,natural
Coherence,Mcdm-T,low-k,0.011499784051295465,0.011683670682125278,0.017744602967321704,0.04842919914628185,0.05801884853498503,alarm
Coherence,Mcdm-T,mid-k,0.017937123078329703,0.018411978090372108,0.025042913063606224,0.10398293694121262,0.12169298469100581,alarm
Coherence,Mcdm-T,high-k,0.007964667756503539,0.0141060172865212,0.01960832315694994,0.09549770587500579,0.11722427644525349,alarm
Coherence,Mgas-T,low-k,0.01138148069231147,0.012828842405938847,0.01757591215924267,0.04769251110270214,0.060401150867680206,alarm
Coherence,Mgas-T,mid-k,0.01538890758694228,0.02102477271588294,0.02318884741581287,0.10479701089488799,0.13744363475671667,alarm
Coherence,Mgas-T,high-k,0.011961424862062878,0.02416093757741628,0.029146063035602347,0.0909835363315459,0.1379063270272572,alarm
